star,comment
2.75,I expected far.more.gicen the rating. The smokiness is on the top of the tongue with a mellow short finish.  Scent is very medicinal and not peaty. Color is very VERY light gold
4.0,"Smokey and briney, but sweet balanced finish"
1.0,null
4.0,null
4.0,"Bacon smoked over a campfire on the nose


Texas smoked brisket on the palate with a rich oily black pepper spice 


Wet campfire, hot mushroom broth and a rich oily warmth on the finish"
4.25,null
4.25,null
4.0,null
3.5,null
4.0,null
4.0,null
4.0,null
3.0,null
4.0,Love it.
null,David's fav
4.0,null
4.0,null
4.0,Soft smooth
4.0,null
4.0,null
5.0,null
4.0,null
4.0,null
4.0,4.5. This was awesome
3.0,null
5.0,null
4.0,null
3.0,null
3.0,null
5.0,null
5.0,null
4.0,null
